,Vendor,count,Service,Service_extend,Service_outdated,Frontend,Frontend_extend,Frontend_extend_2,Database,Backend,Backend_extend,APIs
0,No Name,72235,,,,,,,,,,
1,Vendor067,14491,Apache,,,JavaScript,CSS,Half Rely on Third-Party Framework,MySQL,HTTP,1,internal
2,Vendor372,4974,,,,JavaScript,CSS,Half Rely on Third-Party Framework,,HTTP,1,
3,Vendor383,3914,,,,JavaScript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,RESTful API
4,Vendor281,3896,Apache,,,JavaScript,,Half Rely on Third-Party Framework,,,,
5,Vendor369,2438,Apache,,,JavaScript,,Own Frontend Design,,,,
6,Vendor199,2291,,,,,CSS,Own Frontend Design,,HTTP,1,
7,Vendor521,2273,Apache,,,JavaScript,,Half Rely on Third-Party Framework,,HTTP,1.1,
8,Vendor041,2080,,,,JavaScript,,Half Rely on Third-Party Framework,,HTTP,1,
9,Vendor229,1506,,,,JavaScript,,Half Rely on Third-Party Framework,,HTTP,1,
10,Vendor160,1494,Apache,,,JavaScript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
11,Vendor409,1422,nginx,,1.18.0,,CSS,Own Frontend Design,,HTTP,1.1,
12,Vendor221,1219,nginx,,,,,Own Frontend Design,,HTTP,1.1,
13,Vendor011,850,,,,,CSS,Own Frontend Design,,HTTP,1.1,
14,Vendor241,778,,,,JavaScript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,RESTful API
15,Vendor202,720,nginx,,,JavaScript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
16,Vendor246,648,,,,JavaScript,CSS,Own Frontend Design,,HTTP,1.1,
17,Vendor130,472,,,,JavaScript,CSS,Based on Third Party Framework,,HTTP,1.1,RESTful API
18,Vendor180,426,Apache,,2.4.18,JavaScript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
19,Vendor210,390,,,,,,Half Rely on Third-Party Framework,,,,
20,Vendor531,340,Apache,,,JavaScript,CSS,Based on Third Party Framework,,,,
21,Vendor305,334,,,,,CSS,Own Frontend Design,,HTTP,1.1,
22,Vendor094,288,CirCarLife Scada v4.2.4,,,,,Based on Third Party Framework,,,,
23,Vendor419,218,Apache,,(Debian),JavaScript,,Based on Third Party Framework,,,,
24,Vendor539,202,nginx,,,JavaScript,CSS,Own Frontend Design,,,,
25,Vendor499,180,nginx,,,JavaScript,,Half Rely on Third-Party Framework,,HTTP,1.1,
26,Vendor381,146,lighttpd,1.4.67,PHP/8.1.16,JavaScript,CSS,Own Frontend Design,,,,
27,Vendor061,145,awselb,2,,,,Half Rely on Third-Party Framework,,,,
28,Vendor497,121,Apache,,,,,Half Rely on Third-Party Framework,,,,
29,Vendor197,117,Apache,,,JavaScript,,Half Rely on Third-Party Framework,,HTTP,1.1,
30,Vendor337,113,nginx,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
31,Vendor308,107,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
32,Vendor017,106,Apache,/2.4.29 (Ubuntu),,Javascript,,Own Frontend Design,,HTTP,1.1,
33,Vendor412,105,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,5051,
34,Vendor184,104,Werkzeug/1.0.1 Python/3.8.7rc1+,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1,
35,Vendor116,102,nginx,,,Javascript,,Own Frontend Design,,HTTP,1.1,
36,Vendor200,101,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
37,Vendor491,101,cFos Charging Manager 2.1.9-beta,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,2.0.1,
38,Vendor203,99,nginx,/1.22.1,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
39,Vendor069,97,,,,,,Own Frontend Design,,HTTP,1.1,
40,Vendor347,96,nginx,/1.15.7,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
41,Vendor446,90,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
42,Vendor338,87,Express,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
43,Vendor165,81,,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
44,Vendor447,78,nginx,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
45,Vendor164,77,cloudflare,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
46,Vendor078,74,Next.js,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
47,Vendor496,72,Microsoft-IIS,/10.0,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
48,Vendor382,68,webserver,,,,,Own Frontend Design,,HTTP,1,
49,Vendor626,66,nginx,,,,CSS,Own Frontend Design,,HTTP,1.1,
50,Vendor346,62,,,,,CSS,Own Frontend Design,,HTTP,1,
51,Vendor176,60,,,,,,Own Frontend Design,,HTTP,1,
52,Vendor204,59,cloudflare,,,,,,,HTTP,1.1,
53,Vendor540,59,,,,Javascript,,Own Frontend Design,,HTTP,1.1,
54,Vendor150,58,Caddy,,,,,Half Rely on Third-Party Framework,,HTTP,1.1,
55,Vendor063,50,LiteSpeed,,,,CSS,Own Frontend Design,,HTTP,1.1,
56,Vendor214,48,nginx,/1.20.1,,,,,,HTTP,1.1,
57,Vendor146,47,,,,Javascript,,Own Frontend Design,,HTTP,1,
58,Vendor233,45,Apache,/2.4.18 (Ubuntu),,,CSS,Own Frontend Design,,HTTP,1.1,
59,Vendor621,44,nginx,/1.4.7,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
60,Vendor673,42,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
61,Vendor490,41,Apache,,,,,Based on Third Party Framework,,HTTP,1.1,
62,Vendor543,41,,,,,,Own Frontend Design,,HTTP,1,
63,Vendor389,41,,,,,,Own Frontend Design,,HTTP,1.1,
64,Vendor326,40,Kestrel,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
65,Vendor037,35,Apache,/2.4.58 () OpenSSL/1.0.2k-fips,,,CSS,Own Frontend Design,,HTTP,1.1,
66,Vendor598,34,,,,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
67,Vendor605,34,Apache,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
68,Vendor495,31,nginx,/1.18.0 (Ubuntu),,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
69,Vendor546,31,Apache,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
70,Vendor825,31,Apache,/2.4.23 (Win32) OpenSSL/1.0.2j mod_fcgid/2.3.9,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
71,Vendor503,30,Apache,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
72,Vendor628,30,nginx,,,,,Own Frontend Design,,HTTP,200,
73,Vendor285,29,,,,Javascript,,Own Frontend Design,,HTTP,1.1,
74,Vendor325,28,nginx,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
75,Vendor599,28,nginx,/1.12.2,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
76,Vendor245,27,cFos Charging Manager 2.0.8,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,2.1.9,
77,Vendor310,27,awselb/2.0,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
78,Vendor155,26,Apache,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1,
79,Vendor226,26,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1,
80,Vendor012,24,,,,,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
81,Vendor816,23,Apache,/2.4.33 (Unix),,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
82,Vendor074,22,nginx,,,,,Own Frontend Design,,HTTP,1.1,
83,Vendor224,21,awselb/2.0,,,,,Own Frontend Design,,,,
84,Vendor492,20,cFos Charging Manager 2.0.8,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
85,Vendor014,19,,,,Javascript,CSS,Own Frontend Design,,HTTP,1.1,
86,Vendor655,19,Apache,/2.4.58 (Unix) OpenSSL/1.0.2k-fips,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
87,Vendor676,19,nginx,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
88,Vendor031,18,,,,,CSS,Own Frontend Design,,HTTP,1.1,
89,Vendor181,18,,,,,CSS,Own Frontend Design,,HTTP,1.1,
90,Vendor551,17,Microsoft-IIS,/10.0,,Javascript,,Own Frontend Design,,HTTP,1.1,
91,Vendor704,17,nginx,/1.20.1,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
92,Vendor454,17,,,,,,Own Frontend Design,,HTTP,1.1,
93,Vendor322,17,nginx,/1.10.3 (Ubuntu),,Javascript,CSS,Based on Third Party Framework,,HTTP,1.1,
94,Vendor601,16,Microsoft-IIS,/10.0,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1.1,
95,Vendor255,16,,,,Javascript,CSS,Half Rely on Third-Party Framework,,HTTP,1,
96,Vendor047,15,Apache,,,Javascript,,Half Rely on Third-Party Framework,,HTTP,1.1,
97,Vendor458,15,nginx,/1.22.0,,,CSS,Based on Third Party Framework,,HTTP,1.1,
