,Vendor,count,SQLi,XXE,H.C. Cred.,Weak-password Cred.,Default Cred.,SSRF,CSVi,XSS,CSRF,CORS Misconfig,FCDP Misconfig.,Info. Exposure,Missing Auth.,Forced Browsing,No Rate Limit,Cleartext,I.C.V
0,No Name,72235,,,,,,,,,,,,,,,,,
1,Vendor067,14491,,,,,,,,,,,,1.0,,,1.0,1.0,
2,Vendor372,4974,,,1.0,,,,,,,,,1.0,1.0,1.0,,,
3,Vendor383,3914,,,1.0,,1.0,,,,,,,1.0,,,1.0,1.0,1.0
4,Vendor281,3896,,,,,,,,,,,1.0,,1.0,,,,
5,Vendor369,2438,,,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,
6,Vendor199,2291,,,,,,,,,,,,,1.0,,1.0,,
7,Vendor521,2273,,,,,,,,1.0,1.0,,,1.0,,,1.0,,
8,Vendor041,2080,,,,,,,,,,,,,,,,1.0,
9,Vendor229,1506,,,,,,,,,,,,1.0,,1.0,,1.0,
10,Vendor160,1494,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
11,Vendor409,1422,,,,,,,,,,,,,,,1.0,1.0,
12,Vendor221,1219,,,,,,,,,,,,1.0,1.0,1.0,,,
13,Vendor011,850,,,,,,,,,,,,,,,,,1.0
14,Vendor241,778,,,,,,,,1.0,1.0,,,1.0,,,,1.0,
15,Vendor202,720,,,,,,,,,1.0,,,,,,,,1.0
16,Vendor246,648,,,,,,,,,1.0,1.0,,1.0,,,,,1.0
17,Vendor130,472,,,,,,,,1.0,1.0,,,1.0,,,,1.0,
18,Vendor180,426,,,,,,,,1.0,,,,1.0,,,1.0,1.0,
19,Vendor210,390,,,,,,,,,,,,,,,,,
20,Vendor531,340,,,,,,,,1.0,1.0,,,,,,,1.0,
21,Vendor305,334,,,,,,,,,,,,1.0,,,1.0,1.0,
22,Vendor094,288,,,,,,,,1.0,,,,,,,,,
23,Vendor419,218,,,,,,,,,,,,,,,,,
24,Vendor539,202,,,,,,,,,1.0,,,1.0,,,,1.0,1.0
25,Vendor499,180,,,,,,,,,,1.0,,1.0,,,,,1.0
26,Vendor381,146,,,,,,,,,,,,,,,,,
27,Vendor061,145,,1.0,,,,,,,,,,,,,,,
28,Vendor497,121,,1.0,,,,,,,,,,,,,,,
29,Vendor197,117,,,,,,,,,,,,,,,,,
30,Vendor337,113,1.0,,,,,,,,,,,,,,,,
31,Vendor308,107,,,,,,,,,,,,1.0,,,,,
32,Vendor017,106,,,,,,,,,,,,,,,1.0,,
33,Vendor412,105,,,,,,,,1.0,,,,,,,1.0,,
34,Vendor184,104,,1.0,,,,,,,,,,1.0,,,1.0,,
35,Vendor116,102,,,,,,,,,,,,,,,1.0,,
36,Vendor200,101,,,,,,,,1.0,,,,,,,,,
37,Vendor491,101,,1.0,,,,1.0,,1.0,,,,,,,,,
38,Vendor203,99,,,,,,,,,,,,1.0,,,,,
39,Vendor069,97,,,,,,,,,,,,,,,1.0,,
40,Vendor347,96,,,,,,,,,,,,,,,,,
41,Vendor446,90,,,,,,,,,,,,1.0,,,,,
42,Vendor338,87,,,,,,,,1.0,,,,,,,1.0,,
43,Vendor165,81,,,,,,,,,,,,,,,,,
44,Vendor447,78,,1.0,,,,1.0,,,,,,,,,1.0,,
45,Vendor164,77,,,,,,,,,,,,1.0,,,1.0,,
46,Vendor078,74,,,,,,,,,,,,,,,1.0,,
47,Vendor496,72,,,,,,,,1.0,,,,,,,,,
48,Vendor382,68,,,,,,,,,,,,1.0,,,1.0,,
49,Vendor626,66,,,,,,1.0,,,,,,,,,,,
50,Vendor346,62,,1.0,,,,,,,,,,,,,1.0,,
51,Vendor176,60,,,,,,,,1.0,,,,,,,1.0,,
52,Vendor204,59,,,,,,,,,,,,,,,1.0,,
53,Vendor540,59,,,,,,,,,,,,,,,,,
54,Vendor150,58,,,,,,1.0,,,,,,,,,1.0,,
55,Vendor063,50,,,,,,,,,,,,,,,,,
56,Vendor214,48,,,,,,,,,,,,,,,1.0,,
57,Vendor146,47,,,,,,,,,,,,,,,,,
58,Vendor233,45,,1.0,,,,,,,,,,,,,,,
59,Vendor621,44,,,,,,,,,,,,,,,1.0,,
60,Vendor673,42,,,,,,1.0,,,,,,,,,,,
61,Vendor490,41,,,,,,,,,,,,,,,,,
62,Vendor543,41,,,,,,,,1.0,,,,,,,,,
63,Vendor389,41,,,,,,,,1.0,,,,,,,1.0,,
64,Vendor326,40,,,,,,,,,,,,,,,,,
65,Vendor037,35,,,,,,,,,,,,,,,1.0,,
66,Vendor598,34,,,,,,,,,1.0,,,,,,,,
67,Vendor605,34,,,,1.0,,,,,,,,,,,,,
68,Vendor495,31,,,,,,,,,,,,,,,1.0,,
69,Vendor546,31,,,,,,,,1.0,,,,,,,,,
70,Vendor825,31,,,,,,,,,,,,1.0,,,,,
71,Vendor503,30,,,,,,,,,,,,,,,,,
72,Vendor628,30,,,,,,,,,,,,1.0,,,,,
73,Vendor285,29,,,,,,,,,,,,1.0,,,,,
74,Vendor325,28,,,,,,,,,,,,,,,,,
75,Vendor599,28,,,,,,,,,,,,,,,1.0,,
76,Vendor245,27,,,,,,,,,,,,,,,,,
77,Vendor310,27,,,,,,,,,,,,,,,,,
78,Vendor155,26,,,,,,,,,,,,,,,1.0,,
79,Vendor226,26,,,,,,,,,1.0,,,1.0,,,,,
80,Vendor012,24,,,,,,,,,,,,1.0,,,1.0,,
81,Vendor816,23,,,,,,,,,,,,,,,,,
82,Vendor074,22,,,,,,,,,,,,,,,,,
83,Vendor224,21,,,,,,,,,,,,,,,1.0,,
84,Vendor492,20,,,,,,,,,,,,1.0,,,,,
85,Vendor014,19,,,,,,,,,,,,,,,,,
86,Vendor655,19,,,,,,,,,,,,,,,,,
87,Vendor676,19,,,,,,,,,,,,1.0,,,,,
88,Vendor031,18,,,,,,,,,,,,,,,,,
89,Vendor181,18,,,,,,,,,,,,1.0,,,,,
90,Vendor551,17,,,,,,,,,,,,,,,,,
91,Vendor704,17,,,,,,,,1.0,,,,,,,1.0,,
92,Vendor454,17,,,,,,,,,,,,,,,1.0,,
93,Vendor322,17,,,,,,,,,,,,,,,1.0,,
94,Vendor601,16,,,,,,,,,,,,,,,,,
95,Vendor255,16,,,,,,,,1.0,,,,1.0,,,,,
96,Vendor047,15,,,,,,,,,,,,,,,1.0,,
97,Vendor458,15,,,,,,,,,,,,,,,1.0,,
98,Vendor584,15,,,,,,,,,,,,1.0,,,,,
99,Vendor052,15,,,,,,,,,,,,,,,1.0,,
100,Vendor737,15,,,,,,,,,,,,,,,,,
101,Vendor574,15,,,,,,,,,,,,,,,1.0,,
102,Vendor724,13,,,,,,,,,1.0,,,,,,1.0,,
103,Vendor004,13,,,,,,,,,,,,1.0,,,,,
104,Vendor190,12,,,,,,,,,,,,,,,1.0,,
105,Vendor582,12,,,,,,,,,,,,,,,1.0,,
106,Vendor548,12,,,,,,,,,,,,,,,,,
107,Vendor247,11,,,,,,,,,,,,,,,,,
108,Vendor668,11,,,,,,,,,,,,,,,1.0,,
109,Vendor394,11,,,,,,,,,,,,,,,1.0,,
110,Vendor359,11,,,,,,,,,1.0,,,1.0,,,,,
111,Vendor026,11,,,,,,,,,,,,,,,1.0,,
112,Vendor108,10,,,,,,,,1.0,,,,,,,1.0,,
113,Vendor681,10,,,,,,,,,,,,,,,1.0,,
114,Vendor295,10,,,,,,,,1.0,,,,,,,,,
115,Vendor306,10,,,,,,,,,,,,,,,1.0,,
116,Vendor556,9,,,,,,,,,,,,,,,,,
117,Vendor625,9,,,,,,,,,,,,1.0,,,,,
118,Vendor459,9,,,,,,,,,,,,1.0,,,,,
119,Vendor336,9,,,,,,,,,,,,,,,,,
120,Vendor424,9,,,,,,,,,,,,1.0,,,,,
121,Vendor222,9,,,,,,,,,,,,,,,1.0,,
122,Vendor821,9,,,,,,,,,,,,1.0,,,1.0,,
123,Vendor339,9,,,,,,,,1.0,,,,,,,,,
124,Vendor291,9,,,,,,,,,,,,,,,1.0,,
125,Vendor639,8,,,,,,,,,,,,,,,,,
126,Vendor414,8,,,,,,,,,,,,,,,,,
127,Vendor498,8,,,,,,,,,,,,,,,,,
128,Vendor208,8,,,,,,,,,,,,,,,,,
129,Vendor594,8,,,,,,,,,,,,,,,,,
130,Vendor099,8,,,,,,,,,,,,,,,,,
131,Vendor100,8,,,,,,,,1.0,,,,,,,1.0,,
132,Vendor817,8,,,,,,,,,,,,,,,1.0,,
133,Vendor385,8,,,,,,,,,,,,,,,,,
134,Vendor685,8,,,,,,,,,,,,,,,1.0,,
135,Vendor009,8,,,,,,,,,1.0,,,,,,1.0,,
136,Vendor392,8,,,,,,,,,,,,,,,,,
137,Vendor810,7,,,,,,,,,,,,,,,,,
138,Vendor220,7,,,,,,,,,,,,,,,,,
139,Vendor785,7,,,,,,,,,,,,,,,,,
140,Vendor638,7,,,,,,,,,,,,,,,1.0,,
141,Vendor699,7,,,,,,,,,1.0,,,,,,,,
142,Vendor671,7,,,,,,,,,,,,,,,1.0,,
143,Vendor039,7,,,,,,,,,,,,,,,1.0,,
144,Vendor238,7,,,,,,,,,,,,,,,1.0,,
145,Vendor065,7,,,,,,,,,1.0,,,1.0,,,,,
146,Vendor023,7,,,,,,,,,,,,,,,1.0,,
147,Vendor034,7,,,,,,,,,,,,,,,,,
148,Vendor736,7,,,,,,,,,,,,1.0,,,1.0,,
149,Vendor776,6,,,,,,,,1.0,,,,1.0,,,,,
150,Vendor721,6,,,,,,,,1.0,,,,,,,,,
151,Vendor298,6,,,,,,,,,,,,,,,,,
152,Vendor420,6,,,,,,,,,,,,,,,,,
153,Vendor860,6,,,,,,,,,,,,,,,1.0,,
154,Vendor698,6,,,,,,,,,,,,,,,1.0,,
155,Vendor670,6,,,,,,,,,,,,,,,,,
156,Vendor107,6,,,,,,,,,1.0,,,,,,1.0,,
